No accelerated colorspace conversion found from yuv420p to bgr24.
time base :  1/90000
Image 2024-03-07_14-46-23-755600.png saved in 0.13s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-23-822333.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-23-889067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-23-955800.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-022533.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-089267.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-156000.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-222733.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-289467.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-24-356200.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-422933.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-489667.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-556400.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-24-623133.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-689867.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-756600.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-24-823333.png saved in 0.21s (Img: 0.21s, Coords: 0.00s)
Image 2024-03-07_14-46-24-890067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-24-956800.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-023533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-090267.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-157000.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-25-223733.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-25-290467.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-25-357200.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-25-423933.png saved in 0.13s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-25-490667.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-557400.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-624133.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-690867.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-757600.png saved in 0.13s (Img: 0.13s, Coords: 0.00s)
Image 2024-03-07_14-46-25-824333.png saved in 0.16s (Img: 0.15s, Coords: 0.00s)
Image 2024-03-07_14-46-25-891067.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-25-957800.png saved in 0.13s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-26-024533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-26-091267.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-26-158000.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-26-224733.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-26-291467.png saved in 0.11s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-26-358200.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-26-424933.png saved in 0.11s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-26-491667.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-26-558400.png saved in 0.14s (Img: 0.14s, Coords: 0.00s)
Image 2024-03-07_14-46-26-625133.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-26-691867.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-26-758600.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-26-825333.png saved in 0.21s (Img: 0.21s, Coords: 0.00s)
Image 2024-03-07_14-46-26-892067.png saved in 0.08s (Img: 0.07s, Coords: 0.00s)
Image 2024-03-07_14-46-26-958800.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-025533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-092267.png saved in 0.08s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-159000.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-225733.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-27-292467.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-27-359200.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-425933.png saved in 0.12s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-27-492667.png saved in 0.12s (Img: 0.11s, Coords: 0.00s)
Image 2024-03-07_14-46-27-559400.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-27-626133.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-692867.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-27-759600.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-826333.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-893067.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-27-959800.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-28-026533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-28-093267.png saved in 0.12s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-28-160000.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-226733.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-28-293467.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-28-360200.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-28-426933.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-493667.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-560400.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-627133.png saved in 0.10s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-693867.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-28-760600.png saved in 0.13s (Img: 0.12s, Coords: 0.00s)
Image 2024-03-07_14-46-28-827333.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-894067.png saved in 0.09s (Img: 0.09s, Coords: 0.00s)
Image 2024-03-07_14-46-28-960800.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-29-027533.png saved in 0.09s (Img: 0.08s, Coords: 0.00s)
Image 2024-03-07_14-46-29-094267.png saved in 0.10s (Img: 0.10s, Coords: 0.00s)
Image 2024-03-07_14-46-29-161000.png saved in 0.25s (Img: 0.24s, Coords: 0.00s)
Image 2024-03-07_14-46-29-227733.png saved in 0.12s (Img: 0.11s, Coords: 0.00s)
